Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Pakistan,72041.85535406116,76993.3811804516,79560.32062531891,81579.80081322808,83662.82648254932,86361.28687809402,89684.34783997436,93376.00719568328,97462.10025678776,101205.14301463256,104589.42218502444,106961.80652032344,109375.41912256401,111946.04546239613,115088.74910951947,119021.704062572,122867.85873574516,125950.60763679506,130537.14962464992,134621.89988546167,138502.9432730609,142582.97379769292,147045.0468851648,151626.8325884518,156822.990936554,161434.54812011233,166372.38017259422,170986.70184320433
Philippines,30701.66273504366,31244.93296857037,32756.072510000464,33478.54230546316,35263.12428171888,36956.731156047004,38386.550273622284,40457.567183653635,42130.48327838096,44068.50682325699,46344.49331163315,48400.565677213795,50115.26533395084,51419.919420157195,52931.298374575286,54698.329426934346,56530.860263795126,58055.36851244128,59994.35463223213,62255.81877294061,64156.08926740938,66171.69113615208,68462.03443268049,70713.53559069983,72751.17213302056,76248.55890102437,77962.02134975321,79280.31388559999
Qatar,129.77553896819708,136.7697047334296,144.56801492120942,153.47514316734186,160.2357737183971,166.3983686196075,171.57057657045357,176.00410030089543,180.29995082093245,184.66602888780182,188.45026396084,190.47950042078682,200.72867692006912,212.15691382007958,225.92575739508217,248.71487982559984,266.8131689200846,293.07669895839075,329.3864565593443,362.97632979632317,398.20079688072036,426.64800170975485,455.8665862067564,487.5533157096162,526.3868853626321,573.8537472049818,609.546526398222,659.505257339717
Saudi Arabia,4496.158358861676,4700.7628095932505,4869.6555711930705,5047.5459661782,5242.855297367746,5411.48346119274,5569.328600397553,5719.2601757706125,5876.467664435168,6017.682962934915,6175.371716144004,6297.734491807077,6594.6415274180135,6858.965719004737,7078.5731750856075,7449.430948810194,7683.0667070133195,8149.007709996796,8645.608633730793,9118.441314236548,9564.334437266614,9845.551066385438,10097.916706732769,10383.880316473917,10725.73892494933,11073.570271482922,11436.630976118486,11843.346141658765
Singapore,3199.997262438743,3235.9330519643513,3305.749872574801,3384.769845381207,3532.262728607677,3674.0118890739473,3704.419565416117,3732.996507842074,3785.467852588095,3838.865514239897,3941.297943351864,4021.1610289106893,4061.736831265402,3994.5864220509748,4070.664902362904,4170.336877546582,4225.277281790913,4303.962545728614,4452.339431117429,4431.2617717823605,4543.078739806963,4714.026487388195,4873.708886545566,4935.345499689403,5038.903572168559,5148.892003964833,5283.682365538994,5448.964140593209
South Korea,51367.27234348715,53751.19529560084,55214.93594858301,56890.499169852636,59644.69695911705,61199.638184971416,62834.710437364025,64591.757691819315,65721.13238034588,67528.82115235236,69056.94877481041,69255.96591921718,70506.34853802255,72110.01599573823,73380.88123380854,74131.69405047149,74925.15278036249,76621.89156479697,78140.49541970312,79802.18081329664,82035.3813811065,83346.75912963036,84954.99471585889,85258.99756882577,85774.2508083181,87348.27203737266,89116.10315500131,92548.47496968518
Sri Lanka,8431.384653597252,8321.756715917287,8518.286950442907,8802.897270255316,9323.05872807645,9976.70757187598,10550.801864086396,11395.848631332738,11373.110340512727,11801.340531997545,12147.390120900063,11851.176212594975,11764.984300531309,11958.39485331602,12193.529467310653,12423.491993169608,12645.60623332686,13084.991698748303,13440.115621821822,13383.427164189055,13754.334707790318,14415.04999769136,14895.996739394775,15351.97805019163,15733.627693572029,16119.077419378104,16405.757992723444,16628.052474537595
Syria,4231.7116046947995,4402.343268352287,4612.915405828261,4754.925144046454,4949.16751377774,5121.333439156948,5290.842757126454,5478.268004104955,5639.272496751241,5759.011745988536,5815.753756562839,5799.200084956795,5831.302207790152,5759.486593396824,5842.080747704388,5973.595570286549,6236.839273732697,6529.944114359031,6832.850812774312,7086.80351729316,7387.465794609823,7586.783428193294,7732.860037379754,7886.269236043472,8073.6311559051355,8277.458716732732,8532.479930258562,8794.546121173484
Tajikistan,3078.6374219346017,3145.316379161985,3177.662513250606,3104.479326981125,3162.5445978332746,3078.520817575453,3014.3742406954634,2902.543189968258,2804.3073530512306,2748.0394282256852,2740.7453071222462,2758.82974575608,2783.163637225741,2829.622753245557,2886.967412057985,3029.031184695272,3169.213311195377,3294.950660415593,3404.506901129485,3539.602936686025,3668.5876933676313,3807.401838888291,3906.1568565890334,4014.681218887683,4172.095965789709,4374.482430564817,4576.309315250196,4720.741714103376
Thailand,50926.90726546173,53479.59010164343,55763.18259174865,58409.4696242367,60781.80946785747,63226.760876003056,66324.86403529963,65264.69371458173,65998.68384856031,69298.02618572082,70394.79368219197,70199.1754864062,72509.51065785723,73448.96336084223,74895.91497782707,76284.03691998398,78045.17858117503,80013.73429337592,81665.07895253948,82941.84798409531,85883.49155566831,87958.65726524369,88957.56082691743,89484.42246824216,91688.69363826382,94115.11330444305,99162.4745327092,102596.36276906061
Turkey,55391.92067154405,57486.675856644026,59086.74608773297,60935.68748951832,62972.06648729081,64378.17966064249,64976.91191441016,65931.42879707436,66734.82321564728,67441.97231890314,66477.0217770119,66957.28549308737,67827.55088849443,69417.85728171548,70612.88008428366,73543.47039957768,75888.14250273177,77204.30726206147,78786.52650890125,83274.02168306427,85969.87330124046,87510.83229379336,88666.61836323932,89549.68164437768,90256.93693053546,90791.60346639832,91343.39169693633,92759.99220618406
Turkmenistan,2434.688018831677,2412.9692518780153,2417.180631166935,2532.057998124116,2541.6700414154075,2486.336773071157,2485.460952321184,2426.787823509681,2314.889155958926,2226.1749170889225,2158.1021917851153,2162.3196935438627,2221.251108917165,2315.534265334864,2466.681272428928,2630.5077452705805,2730.6177464222837,2782.8864861843153,2783.416215144269,2757.643561207802,2772.881509395928,2870.780073105628,2998.712600686132,3154.8547388923616,3294.023389831852,3363.953707559569,3439.097737846853,3524.534594736103
United Arab Emirates,618.6033992322547,661.5242382500871,709.2260637555629,761.3743848375435,818.4087176241973,876.4683604203191,931.1347573205423,990.1511173463933,1070.6179006465086,1154.0811886929166,1230.734786432991,1306.2413311499126,1363.0153821686247,1450.3637612803625,1543.623902358906,1613.5123742601277,1740.6533503171966,1921.4758271200767,2140.0579550360185,2460.518155210418,2694.7114580474185,2944.8456832410493,3225.965342135387,3540.007631717973,3862.7331644110636,4234.354178689678,4647.203091932921,5107.445348996273
Uzbekistan,11571.063072985678,11685.570621480392,11794.20296772792,12053.892842508165,12175.318104659651,11989.197453311144,11962.973537106422,12040.702995312442,12317.92513426685,12416.135707109761,12568.481193860769,12860.41961125221,13230.989049179505,13656.744903029772,14248.541995149331,14680.439586934526,14655.814584157619,14793.29786475361,14931.153150139322,15078.695341117473,15256.057899332869,15747.55417179049,16388.534716642782,16994.38023774343,17682.369942644706,18068.683953229032,18564.350707059464,19020.45272015475
Vietnam,56437.572131543035,57539.24424957272,58668.645191032854,60147.91245204528,61697.95378458001,63175.933072807726,65178.303502509756,66845.81591302692,68905.49753969317,71160.81856607753,73276.45564895673,75415.83269721112,77377.3622396401,79449.02660275639,81632.99303631857,83605.51557439822,85906.66887645816,88188.82449819756,90398.53762197512,92882.05349885565,95213.2118746676,98422.33509131717,101720.09981145534,105246.0305620433,108947.87175494287,112566.73700801213,116711.88843960775,120617.38355735653
Yemen,4805.081166154907,4953.18619316979,5121.706352935002,5301.4963730698555,5479.3846977758285,5655.732666855455,5838.509370074865,6026.202301607589,6203.04735000745,6422.068677085527,6666.965612544832,6921.36912728843,7207.58090281818,7461.986338033617,7726.362238461936,7978.48671035516,8237.271291082872,8553.2337129755,8863.275439050483,9170.641154385872,9471.727294150694,9765.172562369493,10036.756530036142,10367.539817064588,10698.318912410605,11094.555588870457,11509.818947748065,11942.143598415947
